"Title","Genre","Company","AgeRating","Year","Rating","RatingCount","Director","Writer","Star","Budget","Revenue","RunTime","Country","Profit"
"Paper Towns","Drama","Fox 2000 Pictures","PG-13",2015,6.2,98000,"Jake Schreier","Scott Neustadter","Nat Wolff",12000000,85512300,109,"United States",73512300
"Nebraska","Drama","Paramount Vantage","R",2013,7.7,114000,"Alexander Payne","Bob Nelson","Bruce Dern",12000000,17654912,115,"United States",5654912
"Max Keeble's Big Move","Comedy","Walt Disney Pictures","PG",2001,5.4,7700,"Tim Hill","David L. Watts","Alex D. Linz",12000000,17292381,86,"United States",5292381
"Young Adult","Comedy","Paramount Pictures","R",2011,6.3,82000,"Jason Reitman","Diablo Cody","Charlize Theron",12000000,22939027,94,"United States",10939027
"Arbitrage","Drama","Lionsgate","R",2012,6.6,51000,"Nicholas Jarecki","Nicholas Jarecki","Richard Gere",12000000,35485056,100,"United States",23485056
"For Your Consideration","Comedy","Shangri-La Entertainment","PG-13",2006,6.3,14000,"Christopher Guest","Christopher Guest","Catherine O'Hara",12000000,5542025,86,"United States",-6457975
"From Justin to Kelly","Comedy","19 Entertainment","PG",2003,2.1,25000,"Robert Iscove","Kim Fuller","Kelly Clarkson",12000000,4922166,90,"United States",-7077834
"Girl 6","Comedy","Fox Searchlight Pictures","R",1996,5.2,5900,"Spike Lee","Suzan-Lori Parks","Theresa Randle",12000000,4939939,108,"United States",-7060061
"Two Lovers","Drama","2929 Productions","R",2008,7,39000,"James Gray","James Gray","Joaquin Phoenix",12000000,3148182,110,"United States",-8851818
"Stoker","Drama","Fox Searchlight Pictures","R",2013,6.8,105000,"Park Chan-Wook","Wentworth Miller","Mia Wasikowska",12000000,12077441,99,"United Kingdom",77441
"Pet Sematary","Drama","Paramount Pictures","R",1989,6.6,97000,"Mary Lambert","Stephen King","Dale Midkiff",11500000,57469467,103,"United States",45969467
"Pet Sematary","Drama","Paramount Pictures","R",2019,5.7,86000,"Kevin Kölsch","Stephen King","Jason Clarke",11500000,57469467,103,"United States",45969467
"Dirty Grandpa","Comedy","Lionsgate","R",2016,5.9,117000,"Dan Mazer","John Phillips","Robert De Niro",11500000,94073028,102,"United States",82573028
"Phone Booth","Thriller","Fox 2000 Pictures","R",2002,7,255000,"Joel Schumacher","Larry Cohen","Colin Farrell",13000000,97837138,81,"United States",84837138
"Dead Man Walking","Drama","Havoc","R",1995,7.5,90000,"Tim Robbins","Helen Prejean","Susan Sarandon",11000000,39363635,122,"United Kingdom",28363635
"Cruel Intentions","Drama","Columbia Pictures","R",1999,6.8,183000,"Roger Kumble","Choderlos de Laclos","Sarah Michelle Gellar",10500000,75902208,97,"United States",65402208
"The Secret Life of Bees","Adventure","Fox Searchlight Pictures","PG-13",2008,7.3,25000,"Gina Prince-Bythewood","Gina Prince-Bythewood","Dakota Fanning",11000000,38105395,114,"United States",27105395
"Invaders from Mars","Science Fiction","Cannon Pictures","PG",1986,5.6,8200,"Tobe Hooper","Richard Blake","Karen Black",12000000,4884663,100,"United States",-7115337
"Brooklyn","Drama","Wildgaze Films","PG-13",2015,7.5,135000,"John Crowley","Nick Hornby","Saoirse Ronan",11000000,62076141,111,"United Kingdom",51076141
"What's Eating Gilbert Grape","Romance","Paramount Pictures","PG-13",1993,7.7,221000,"Lasse Hallström","Peter Hedges","Johnny Depp",11000000,3e+07,118,"United States",1.9e+07
"E.T. the Extra-Terrestrial","Science Fiction","Universal Pictures","PG",1982,7.8,381000,"Steven Spielberg","Melissa Mathison","Henry Thomas",10500000,792910554,115,"United States",782410554
"In the Land of Women","Romance","Castle Rock Entertainment","PG-13",2007,6.4,31000,"Jonathan Kasdan","Jonathan Kasdan","Adam Brody",10000000,17500000,97,"United States",7500000
"There Goes My Baby","Drama","Nelson Entertainment","R",1994,6.4,1000,"Floyd Mutrux","Floyd Mutrux","Dermot Mulroney",10500000,123509,99,"United States",-10376491
"The Purge: Election Year","Action","Universal Pictures","R",2016,6,93000,"James DeMonaco","James DeMonaco","Frank Grillo",10000000,118587880,105,"United States",108587880
"White Noise","Drama","Universal Pictures","PG-13",2005,5.5,48000,"Geoffrey Sax","Niall Johnson","Michael Keaton",10000000,91196419,101,"United Kingdom",81196419
"Madea's Family Reunion","Drama","Lions Gate Films","PG-13",2006,5.3,11000,"Tyler Perry","Tyler Perry","Tyler Perry",6000000,57231524,110,"United States",51231524
"Happy Gilmore","Comedy","Universal Pictures","PG-13",1996,7,205000,"Dennis Dugan","Tim Herlihy","Adam Sandler",12000000,41205099,92,"United States",29205099
"Jeepers Creepers","Horror","United Artists","R",2001,6.2,115000,"Victor Salva","Victor Salva","Gina Philips",10000000,59217789,90,"United States",49217789
"Mad Max Beyond Thunderdome","Action","Kennedy Miller Productions","PG-13",1985,6.3,129000,"George Miller","Terry Hayes","Mel Gibson",12305523,36230219,107,"Australia",23924696
"The Boy","Horror","Lakeshore Entertainment","PG-13",2016,6,84000,"William Brent Bell","Stacey Menear","Lauren Cohan",10000000,64188367,97,"United States",54188367
"Devil","Horror","Universal Pictures","PG-13",2010,6.2,137000,"John Erick Dowdle","Brian Nelson","Chris Messina",10000000,33583175,80,"United States",23583175
"A Low Down Dirty Shame","Action","Caravan Pictures","R",1994,6,6700,"Keenen Ivory Wayans","Keenen Ivory Wayans","Keenen Ivory Wayans",10000000,29392418,100,"United States",19392418
"Employee of the Month","Comedy","Lionsgate","PG-13",2006,5.5,46000,"Greg Coolidge","Don Calame","Jessica Simpson",12000000,38368909,103,"United States",26368909
"Can't Hardly Wait","Comedy","Columbia Pictures","PG-13",1998,6.5,47000,"Harry Elfont","Deborah Kaplan","Jennifer Love Hewitt",10000000,25605015,100,"United States",15605015
"Pete's Dragon","Adventure","Walt Disney Pictures","PG",2016,6.7,55000,"David Lowery","David Lowery","Bryce Dallas Howard",65000000,143695338,102,"United States",78695338
"The Fourth Kind","Mystery","Universal Pictures","PG-13",2009,5.9,75000,"Olatunde Osunsanmi","Olatunde Osunsanmi","Milla Jovovich",10000000,42333295,98,"United States",32333295
"Skyline","Science Fiction","Rogue Pictures","PG-13",2010,4.4,88000,"Colin Strause","Joshua Cordes","Eric Balfour",10000000,66821036,100,"United States",56821036
"Mo' Better Blues","Drama","Universal Pictures","R",1990,6.6,12000,"Spike Lee","Spike Lee","Denzel Washington",10000000,16153593,129,"United States",6153593
"Tremors","Action","Universal Pictures","PG-13",1990,7.1,126000,"Ron Underwood","S.S. Wilson","Kevin Bacon",11000000,48572000,96,"United States",37572000
"Wrong Turn","Horror","Summit Entertainment","R",2003,6.1,113000,"Rob Schmidt","Alan B. McElroy","Eliza Dushku",12600000,28650575,84,"Canada",16050575
"The Long Riders","Western","United Artists","R",1980,7,10000,"Walter Hill","Bill Bryden","David Carradine",10000000,15795189,99,"United States",5795189
"The Corruptor","Action","New Line Cinema","R",1999,6.1,18000,"James Foley","Robert Pucci","Chow Yun-Fat",25000000,15156200,110,"United States",-9843800
"The Gift","Thriller","Blumhouse Productions","R",2015,7,145000,"Joel Edgerton","Joel Edgerton","Jason Bateman",5000000,58978653,108,"United States",53978653
"Drop Dead Gorgeous","Comedy","New Line Cinema","PG-13",1999,6.6,34000,"Michael Patrick Jann","Lona Williams","Kirsten Dunst",10000000,10571408,98,"Germany",571408
"Big Eyes","Drama","The Weinstein Company","PG-13",2014,7,88000,"Tim Burton","Scott Alexander","Amy Adams",10000000,28883511,105,"United States",18883511
"Very Bad Things","Comedy","Initial Entertainment Group (IEG)","R",1998,6.3,46000,"Peter Berg","Peter Berg","Christian Slater",30000000,9898412,100,"United States",-20101588
"American History X","Drama","New Line Cinema","R",1998,8.5,1100000,"Tony Kaye","David McKenna","Edward Norton",20000000,23875127,119,"United States",3875127
"The Red Violin","Drama","Rhombus Media","R",1998,7.6,32000,"François Girard","Don McKellar","Carlo Cecchi",18000000,9495408,131,"Canada",-8504592
"Heartbeeps","Comedy","Universal Pictures","PG",1981,4.3,1300,"Allan Arkush","John Hill","Andy Kaufman",10000000,2154696,79,"United States",-7845304
"Rescue Dawn","Adventure","Metro-Goldwyn-Mayer (MGM)","PG-13",2006,7.3,103000,"Werner Herzog","Werner Herzog","Christian Bale",10000000,7177143,126,"United States",-2822857
"Danny Collins","Comedy","Big Indie Pictures","R",2015,7,30000,"Dan Fogelman","Dan Fogelman","Al Pacino",10000000,10835752,107,"United States",835752
"The Limey","Action","Artisan Entertainment","R",1999,7,31000,"Steven Soderbergh","Lem Dobbs","Terence Stamp",10000000,3193102,89,"United States",-6806898
"Sphinx","Adventure","Orion Pictures","PG",1981,5.2,1300,"Franklin J. Schaffner","John Byrum","Lesley-Anne Down",14000000,439564,118,"United Kingdom",-13560436
"Gun Shy","Action","Hollywood Pictures","R",2000,5.7,7000,"Eric Blakeney","Eric Blakeney","Liam Neeson",10000000,1631839,101,"United States",-8368161
"The Iceman","Thriller","Bleiberg Entertainment","R",2012,6.8,72000,"Ariel Vromen","Morgan Land","Michael Shannon",20000000,1969193,105,"United States",-18030807
"My Blueberry Nights","Drama","Block 2 Pictures","PG-13",2007,6.6,53000,"Kar-Wai Wong","Kar-Wai Wong","Norah Jones",10000000,21786738,111,"China",11786738
"Swept Away","Comedy","Screen Gems","R",2002,3.6,16000,"Guy Ritchie","Guy Ritchie","Madonna",10000000,598645,89,"United Kingdom",-9401355
"World's Greatest Dad","Comedy","Magnolia Pictures","R",2009,6.9,38000,"Bobcat Goldthwait","Bobcat Goldthwait","Robin Williams",10000000,295750,99,"United States",-9704250
"Next Friday","Comedy","New Line Cinema","R",2000,6.2,38000,"Steve Carr","Ice Cube","Ice Cube",11000000,59827328,98,"United States",48827328
"Amour","Drama","Les Films du Losange","PG-13",2012,7.9,95000,"Michael Haneke","Michael Haneke","Jean-Louis Trintignant",8900000,19839492,127,"Austria",10939492
"Poltergeist III","Horror","Metro-Goldwyn-Mayer (MGM)","PG",1988,4.7,17000,"Gary Sherman","Gary Sherman","Heather O'Rourke",10500000,14144000,98,"United States",3644000
"Melancholia","Drama","Zentropa Entertainments","R",2011,7.2,172000,"Lars von Trier","Lars von Trier","Kirsten Dunst",7400000,21817298,136,"Denmark",14417298
"The Runaways","Drama","River Road Entertainment","R",2010,6.5,47000,"Floria Sigismondi","Floria Sigismondi","Kristen Stewart",10000000,2995811,106,"United States",-7004189
"Set It Off","Drama","New Line Cinema","R",1996,6.9,15000,"F. Gary Gray","Takashi Bufford","Jada Pinkett Smith",9000000,41590886,118,"United States",32590886
"Child's Play","Horror","United Artists","R",1988,6.6,91000,"Tom Holland","Don Mancini","Catherine Hicks",9000000,44196684,87,"United States",35196684
"The Purge: Anarchy","Horror","Universal Pictures","R",2014,6.4,143000,"James DeMonaco","James DeMonaco","Frank Grillo",9000000,108782847,104,"United States",99782847
"Boiler Room","Crime","New Line Cinema","R",2000,7,51000,"Ben Younger","Ben Younger","Giovanni Ribisi",26000000,28780255,118,"United States",2780255
"Black Christmas","Horror","Dimension Films","R",2006,4.6,25000,"Glen Morgan","Glen Morgan","Michelle Trachtenberg",9000000,21510851,84,"Canada",12510851
"Igby Goes Down","Comedy","United Artists","R",2002,6.9,32000,"Burr Steers","Burr Steers","Kieran Culkin",9000000,4777465,97,"United States",-4222535
"Awake","Thriller","The Weinstein Company","R",2007,6.5,73000,"Joby Harold","Joby Harold","Hayden Christensen",86000000,14373825,84,"United States",-71626175
"The Lost Boys","Horror","Warner Bros.","R",1987,7.3,128000,"Joel Schumacher","Jan Fischer","Jason Patric",8500000,32222567,97,"United States",23722567
"Crazy Heart","Drama","Fox Searchlight Pictures","R",2009,7.2,86000,"Scott Cooper","Scott Cooper","Jeff Bridges",7000000,39462438,112,"United States",32462438
"Nightcrawler","Crime","Bold Films","R",2014,7.8,486000,"Dan Gilroy","Dan Gilroy","Jake Gyllenhaal",8500000,38697217,117,"United States",30197217
"Splash","Comedy","Touchstone Pictures","PG",1984,6.3,71000,"Ron Howard","Brian Grazer","Tom Hanks",8000000,69821334,111,"United States",61821334
"Little Miss Sunshine","Comedy","Fox Searchlight Pictures","R",2006,7.8,450000,"Jonathan Dayton","Michael Arndt","Steve Carell",8000000,100523181,102,"United States",92523181
"Stand by Me","Crime","Columbia Pictures","R",1986,8.1,374000,"Rob Reiner","Stephen King","Wil Wheaton",8000000,52287414,89,"United States",44287414
"50/50","Comedy","Summit Entertainment","R",2011,7.6,320000,"Jonathan Levine","Will Reiser","Joseph Gordon-Levitt",8000000,39187783,100,"United States",31187783
"That Awkward Moment","Comedy","Treehouse Pictures","R",2014,6.1,99000,"Tom Gormican","Tom Gormican","Zac Efron",8000000,26049082,94,"United States",18049082
"New Nightmare","Horror","New Line Cinema","R",1994,6.5,53000,"Wes Craven","Wes Craven","Heather Langenkamp",14000000,18090181,112,"United States",4090181
"Easy A","Comedy","Screen Gems","PG-13",2010,7,368000,"Will Gluck","Bert V. Royal","Emma Stone",8000000,74952305,92,"United States",66952305
"Shadow of the Vampire","Drama","Saturn Films","R",2000,6.9,40000,"E. Elias Merhige","Steven Katz","John Malkovich",8000000,8279017,92,"United Kingdom",279017
"It's Kind of a Funny Story","Comedy","Focus Features","PG-13",2010,7.1,139000,"Anna Boden","Anna Boden","Keir Gilchrist",8000000,6491240,101,"United States",-1508760
"Prefontaine","Drama","Hollywood Pictures","PG-13",1997,6.8,7000,"Steve James","Steve James","Jared Leto",8000000,589304,106,"United States",-7410696
"Driving Miss Daisy","Comedy","The Zanuck Company","PG",1989,7.4,102000,"Bruce Beresford","Alfred Uhry","Morgan Freeman",7500000,145793296,99,"United States",138293296
"An Education","Drama","BBC Films","PG-13",2009,7.3,131000,"Lone Scherfig","Lynn Barber","Carey Mulligan",7500000,26096852,100,"United Kingdom",18596852
"Narc","Action","Paramount Pictures","R",2002,7.1,39000,"Joe Carnahan","Joe Carnahan","Ray Liotta",6500000,12633747,105,"United States",6133747
"Juno","Comedy","Fox Searchlight Pictures","PG-13",2007,7.4,499000,"Jason Reitman","Diablo Cody","Elliot Page",7500000,231411584,96,"United States",223911584
"Flashdance","Drama","Paramount Pictures","R",1983,6.2,50000,"Adrian Lyne","Thomas Hedley Jr.","Jennifer Beals",4000000,92921203,95,"United States",88921203
"Desperado","Thriller","Columbia Pictures","R",1995,7.2,175000,"Robert Rodriguez","Robert Rodriguez","Antonio Banderas",7000000,25405445,104,"United States",18405445
"The Last Temptation of Christ","Drama","Universal Pictures","R",1988,7.5,54000,"Martin Scorsese","Nikos Kazantzakis","Willem Dafoe",7000000,8373585,164,"Canada",1373585
"The Other Side of Heaven","Action","3Mark Entertainment","PG",2001,6.4,4200,"Mitch Davis","Mitch Davis","Christopher Gorham",7000000,4720371,113,"United States",-2279629
"We Need to Talk About Kevin","Drama","BBC Films","R",2011,7.5,142000,"Lynne Ramsay","Lynne Ramsay","Tilda Swinton",7000000,6038942,112,"United Kingdom",-961058
"The Boondock Saints","Action","Franchise Pictures","R",1999,7.8,230000,"Troy Duffy","Troy Duffy","Willem Dafoe",6000000,30471,108,"United States",-5969529
"Annabelle","Horror","New Line Cinema","R",2014,5.4,147000,"John R. Leonetti","Gary Dauberman","Ward Horton",6500000,255273813,99,"United States",248773813
"Dressed to Kill","Horror","Filmways Pictures","R",1980,7.1,37000,"Brian De Palma","Brian De Palma","Michael Caine",6500000,31899000,105,"United States",25399000
"Go","Crime","Columbia Pictures","R",1999,7.2,68000,"Doug Liman","John August","Sarah Polley",6500000,28451622,98,"United States",21951622
"Layer Cake","Drama","Sony Pictures Classics","R",2004,7.3,171000,"Matthew Vaughn","J.J. Connolly","Daniel Craig",6500000,11850214,105,"United Kingdom",5350214
"Caddyshack","Comedy","Orion Pictures","R",1980,7.3,108000,"Harold Ramis","Brian Doyle-Murray","Chevy Chase",6000000,39846344,98,"United States",33846344
"A Nightmare on Elm Street 5: The Dream Child","Horror","New Line Cinema","R",1989,5.1,42000,"Stephen Hopkins","Wes Craven","Robert Englund",8000000,22168359,89,"United States",14168359
"Escape from New York","Science Fiction","AVCO Embassy Pictures","R",1981,7.2,131000,"John Carpenter","John Carpenter","Kurt Russell",6000000,50244700,99,"United States",44244700
"A Mighty Wind","Comedy","Castle Rock Entertainment","PG-13",2003,7.2,27000,"Christopher Guest","Christopher Guest","Christopher Guest",6000000,18750246,91,"United States",12750246
"Tales from the Hood","Crime","40 Acres & A Mule Filmworks","R",1995,6.4,7400,"Rusty Cundieff","Rusty Cundieff","Clarence Williams III",6000000,1.2e+07,98,"United States",6e+06
"The Last King of Scotland","Drama","Fox Searchlight Pictures","R",2006,7.7,179000,"Kevin Macdonald","Peter Morgan","James McAvoy",6000000,48027970,121,"United Kingdom",42027970
"The Virgin Suicides","Drama","American Zoetrope","R",1999,7.2,147000,"Sofia Coppola","Jeffrey Eugenides","Kirsten Dunst",6000000,10409377,97,"United States",4409377
"Shattered Glass","Drama","Lions Gate Films","PG-13",2003,7.1,34000,"Billy Ray","Buzz Bissinger","Hayden Christensen",6000000,2944752,94,"United States",-3055248
"Beastmaster 2: Through the Portal of Time","Action","Les Films 21","PG-13",1991,4.1,3000,"Sylvio Tabet","Andre Norton","Marc Singer",6000000,869325,107,"United States",-5130675
"Wonderland","Crime","Lions Gate Films","R",2003,6.6,22000,"James Cox","James Cox","Val Kilmer",5000000,2466444,104,"Canada",-2533556
"10 Cloverfield Lane","Thriller","Paramount Pictures","PG-13",2016,7.2,3e+05,"Dan Trachtenberg","Josh Campbell","John Goodman",15000000,108286421,103,"United States",93286421
"Ouija","Horror","Universal Pictures","PG-13",2014,4.5,50000,"Stiles White","Juliet Snowden","Olivia Cooke",5000000,103590271,89,"United States",98590271
"A Nightmare on Elm Street 3: Dream Warriors","Horror","New Line Cinema","R",1987,6.6,73000,"Chuck Russell","Wes Craven","Heather Langenkamp",5000000,44793222,96,"United States",39793222
"Paranormal Activity 4","Horror","Paramount Pictures","R",2012,4.6,63000,"Henry Joost","Christopher Landon","Stephen Dunham",5000000,142817992,95,"United States",137817992
"Freddy's Dead: The Final Nightmare","Horror","New Line Cinema","R",1991,4.9,43000,"Rachel Talalay","Wes Craven","Robert Englund",11000000,34872033,89,"United States",23872033
"Oculus","Horror","Intrepid Pictures","R",2013,6.5,120000,"Mike Flanagan","Mike Flanagan","Karen Gillan",5000000,44030246,104,"United States",39030246
"Clerks II","Comedy","The Weinstein Company","R",2006,7.3,131000,"Kevin Smith","Kevin Smith","Brian O'Halloran",5000000,26888376,97,"United States",21888376
"The Man from Snowy River","Family","Cambridge Productions","PG",1982,7.3,8200,"George Miller","A.B. 'Banjo' Paterson","Kirk Douglas",3500000,20659423,104,"Australia",17159423
"Race","Action","Forecast Pictures","PG-13",2016,7.1,36000,"Stephen Hopkins","Joe Shrapnel","Stephan James",5000000,24804129,134,"Canada",19804129
"Nighthawks","Action","Universal Pictures","R",1981,6.4,18000,"Bruce Malmuth","David Shaber","Sylvester Stallone",5000000,19905359,99,"United States",14905359
"Friday the 13th Part VIII: Jason Takes Manhattan","Horror","Paramount Pictures","R",1989,4.6,35000,"Rob Hedden","Rob Hedden","Jensen Daggett",5000000,1.4e+07,100,"Canada",9e+06
"Shaun of the Dead","Horror","Universal Pictures","R",2004,7.9,525000,"Edgar Wright","Simon Pegg","Simon Pegg",4000000,30039392,99,"United Kingdom",26039392
"No Escape","Action","Bold Films","R",2015,6.8,81000,"John Erick Dowdle","John Erick Dowdle","Lake Bell",5000000,54418872,103,"United States",49418872
"The Barbarian Invasions","Comedy","Pyramide Productions","R",2003,7.6,29000,"Denys Arcand","Denys Arcand","Rémy Girard",8000000,3432342,99,"Canada",-4567658
"Made","Action","Artisan Entertainment","R",2001,6.4,18000,"Jon Favreau","Jon Favreau","Vince Vaughn",5000000,5476060,94,"United States",476060
"Heavenly Creatures","Drama","WingNut Films","R",1994,7.3,60000,"Peter Jackson","Fran Walsh","Melanie Lynskey",5000000,3049135,99,"New Zealand",-1950865
"Zero Effect","Comedy","Castle Rock Entertainment","R",1998,6.9,14000,"Jake Kasdan","Jake Kasdan","Bill Pullman",5000000,1980338,116,"United States",-3019662
"Rabbit Hole","Drama","Olympus Pictures","PG-13",2010,7,48000,"John Cameron Mitchell","David Lindsay-Abaire","Nicole Kidman",5000000,5129058,91,"United States",129058
"Redacted","Drama","HDNet Films","R",2007,6.1,10000,"Brian De Palma","Brian De Palma","Patrick Carroll",5000000,782102,90,"United States",-4217898
"Take Shelter","Thriller","Hydraulx","R",2011,7.4,95000,"Jeff Nichols","Jeff Nichols","Michael Shannon",5000000,3099314,120,"United States",-1900686
"Fast Times at Ridgemont High","Comedy","Universal Pictures","R",1982,7.2,98000,"Amy Heckerling","Cameron Crowe","Sean Penn",4500000,27092880,90,"United States",22592880
"Bound","Crime","Dino De Laurentiis Company","R",1996,7.3,52000,"Lana Wachowski","Lilly Wachowski","Jennifer Tilly",4500000,7011317,108,"United States",2511317
"Donnie Darko","Fantasy","Pandora Cinema","R",2001,8,755000,"Richard Kelly","Richard Kelly","Jake Gyllenhaal",6000000,1270522,113,"United States",-4729478
"The Sweeney","Action","Vertigo Films","R",2012,6.1,19000,"Nick Love","Nick Love","Ray Winstone",3730500,6294161,112,"United Kingdom",2563661
"Whale Rider","Drama","South Pacific Pictures","PG-13",2002,7.5,40000,"Niki Caro","Niki Caro","Keisha Castle-Hughes",8000000,41400000,101,"New Zealand",33400000
"Night Watch","Fantasy","Bazelevs Production","R",2004,6.4,53000,"Timur Bekmambetov","Timur Bekmambetov","Konstantin Khabenskiy",4200000,3.2e+07,114,"Russia",27800000
"Maggie","Horror","Lionsgate","PG-13",2015,5.6,43000,"Henry Hobson","John Scott 3","Arnold Schwarzenegger",4000000,187112,95,"United States",-3812888
"The Boy Next Door","Thriller","Universal Pictures","R",2015,4.7,40000,"Rob Cohen","Barbara Curry","Jennifer Lopez",4000000,52425855,91,"United States",48425855
"Scoop","Comedy","BBC Films","PG-13",2006,6.6,82000,"Woody Allen","Woody Allen","Scarlett Johansson",4000000,31584901,96,"United Kingdom",27584901
"Secretary","Comedy","Slough Pond","R",2002,7,86000,"Steven Shainberg","Erin Cressida Wilson","James Spader",4000000,9304609,104,"United States",5304609
"Mirrormask","Fantasy","Destination Films","PG",2005,6.8,22000,"Dave McKean","Neil Gaiman","Stephanie Leonidas",4000000,866999,101,"United Kingdom",-3133001
"Joe","Drama","Worldview Entertainment","R",2013,6.9,46000,"David Gordon Green","Gary Hawkins","Nicolas Cage",4000000,2365467,118,"United States",-1634533
"Prison","Crime","Empire Pictures","R",1987,5.8,4000,"Renny Harlin","Irwin Yablans","Lane Smith",1300000,354704,102,"United States",-945296
"Adore","Drama","Gaumont","R",2013,6.2,33000,"Anne Fontaine","Anne Fontaine","Naomi Watts",16000000,318982,100,"Australia",-15681018
"Stake Land","Drama","Glass Eye Pix","R",2010,6.5,41000,"Jim Mickle","Nick Damici","Connor Paolo",650000,33245,98,"United States",-616755
"Four Lions","Comedy","Film4","R",2010,7.3,74000,"Christopher Morris","Christopher Morris","Will Adamsdale",967686,4270000,101,"United Kingdom",3302314
"Airplane!","Comedy","Paramount Pictures","PG",1980,7.7,221000,"Jim Abrahams","Jim Abrahams","Robert Hays",3500000,83453539,88,"United States",79953539
"Friday","Comedy","New Line Cinema","R",1995,7.3,103000,"F. Gary Gray","Ice Cube","Ice Cube",3500000,28215918,91,"United States",24715918
"Menace II Society","Drama","New Line Cinema","R",1993,7.5,54000,"Albert Hughes","Allen Hughes","Tyrin Turner",3500000,27900000,97,"United States",24400000
"Creepshow 2","Horror","New World Pictures","R",1987,6.1,23000,"Michael Gornick","Stephen King","George Kennedy",3500000,1.4e+07,92,"United States",10500000
"The Witch","Mystery","Parts and Labor","R",2015,6.9,218000,"Robert Eggers","Robert Eggers","Anya Taylor-Joy",3500000,40423945,92,"Canada",36923945
"Gods and Monsters","Drama","Lions Gate Films","R",1998,7.4,30000,"Bill Condon","Christopher Bram","Ian McKellen",10000000,6451628,105,"United States",-3548372
"Choke","Comedy","Fox Searchlight Pictures","R",2008,6.4,32000,"Clark Gregg","Clark Gregg","Sam Rockwell",3000000,3830137,92,"United States",830137
"Whiplash","Drama","Bold Films","R",2014,8.5,749000,"Damien Chazelle","Damien Chazelle","Miles Teller",3300000,13092000,105,"United States",9792000
"City of God","Drama","O2 Filmes","R",2002,8.6,714000,"Fernando Meirelles","Paulo Lins","Alexandre Rodrigues",3300000,30641770,130,"Brazil",27341770
"Human Traffic","Comedy","Irish Screen","R",1999,7.1,24000,"Justin Kerrigan","Justin Kerrigan","John Simm",600000,4e+06,99,"United Kingdom",3400000
"Paranormal Activity 2","Horror","Paramount Pictures","R",2010,5.7,1e+05,"Tod Williams","Michael R. Perry","Katie Featherston",3000000,177512032,91,"United States",174512032
"The Purge","Science Fiction","Universal Pictures","R",2013,5.7,209000,"James DeMonaco","James DeMonaco","Ethan Hawke",3000000,89328627,86,"United States",86328627
"Air Bud","Comedy","Walt Disney Pictures","PG",1997,5.3,17000,"Charles Martin Smith","Kevin DiCicco","Michael Jeter",3000000,23144499,98,"United States",20144499
"Friday the 13th Part VI: Jason Lives","Horror","Paramount Pictures","R",1986,6,40000,"Tom McLoughlin","Tom McLoughlin","Thom Mathews",3000000,19472057,86,"United States",16472057
"Bachelorette","Comedy","Gary Sanchez Productions","R",2012,5.3,46000,"Leslye Headland","Leslye Headland","Kirsten Dunst",3000000,11947954,87,"United States",8947954
"Diary of the Dead","Horror","Artfire Films","R",2007,5.6,46000,"George A. Romero","George A. Romero","Michelle Morgan",2000000,5364858,95,"United States",3364858
"Super","Comedy","This Is That Productions","R",2010,6.7,76000,"James Gunn","James Gunn","Rainn Wilson",2500000,324138,96,"United States",-2175862
"Friday the 13th Part III","Horror","Paramount Pictures","R",1982,5.7,49000,"Steve Miner","Martin Kitrosser","Dana Kimmell",4000000,36690067,95,"United States",32690067
"It Follows","Horror","Northern Lights Films","R",2014,6.8,217000,"David Robert Mitchell","David Robert Mitchell","Maika Monroe",2000000,14674076,100,"United States",12674076
"Boys Don't Cry","Crime","Fox Searchlight Pictures","R",1999,7.5,94000,"Kimberly Peirce","Kimberly Peirce","Hilary Swank",2000000,11540607,118,"United States",9540607
"Silent House","Horror","Elle Driver","R",2011,5.3,22000,"Chris Kentis","Gustavo Hernández","Elizabeth Olsen",2000000,13101672,85,"United States",11101672
"Courageous","Drama","TriStar Pictures","PG-13",2011,7,20000,"Alex Kendrick","Alex Kendrick","Alex Kendrick",1000000,34522221,129,"United States",33522221
"Thirteen","Crime","Fox Searchlight Pictures","R",2003,6.8,81000,"Catherine Hardwicke","Catherine Hardwicke","Evan Rachel Wood",2000000,4601043,100,"United States",2601043
"Winter's Bone","Drama","Anonymous Content","R",2010,7.2,138000,"Debra Granik","Debra Granik","Jennifer Lawrence",2000000,13831503,100,"United States",11831503
"Six-String Samurai","Action","HSX Films","PG-13",1998,6.6,7000,"Lance Mungia","Jeffrey Falcon","Jeffrey Falcon",2000000,124494,91,"United States",-1875506
"The Last Exorcism","Horror","Strike Entertainment","PG-13",2010,5.7,49000,"Daniel Stamm","Huck Botko","Patrick Fabian",1800000,67738090,87,"France",65938090
"Run Lola Run","Action","X-Filme Creative Pool","R",1998,7.7,191000,"Tom Tykwer","Tom Tykwer","Franka Potente",1530000,7267585,81,"Germany",5737585
"Waitress","Comedy","Night and Day Pictures","PG-13",2007,7,44000,"Adrienne Shelly","Adrienne Shelly","Keri Russell",2000000,22179430,108,"United States",20179430
"Kissing Jessica Stein","Comedy","Fox Searchlight Pictures","R",2001,6.5,16000,"Charles Herman-Wurmfeld","Heather Juergensen","Jennifer Westfeldt",1000000,10013424,97,"United States",9013424
"The To Do List","Comedy","3 Arts Entertainment","R",2013,5.8,38000,"Maggie Carey","Maggie Carey","Aubrey Plaza",1500000,3566225,104,"United States",2066225
